{0, -133668462505934398, 4}
{1, -6131015185403460402, 2}
{2, 7370913591069461637, 3}
{4, -739437124346362558, 3}
{5, -7858620266629151490, 2}
{6, -4378632544413069343, 1}
{7, 7267474230010529912, 2}
{8, 2283513269590967747, 1}
{9, 6634952076968087408, 2}
{10, -685881410768646692, 3}
{11, 7141095913867005068, 2}
{12, -1272880658645827294, 3}
{13, 3676258939917716563, 4}
{14, -663488037519604354, 1}
{16, 7774574369150159945, 3}
{17, -475750390943101854, 3}
{18, 718155293928866973, 3}
{19, -7926169575946565489, 2}
{20, 2297888820159400060, 3}
