{0, 1729011654677185639, 2}
{1, 3189518471154779158, 3}
{2, -3436456280768492741, 1}
{3, 2651556492423220887, 1}
{4, -409112645089342405, 2}
{5, 2150736951193651120, 3}
{6, 8421881404069266219, 2}
{7, -1062816575015989702, 1}
{8, -2643442762732515405, 1}
{9, -7002728160620428746, 1}
{10, -7977986614376054480, 2}
{11, -6753873781172583124, 4}
{12, -5283245090330358129, 2}
{13, 8660532091107626585, 1}
{14, 5487764678715196706, 1}
{15, -2828149752868746263, 1}
{16, -1965168473457538152, 2}
{17, 2118594866889248463, 1}
{18, 5980038800017670736, 2}
{20, -1205121997588380729, 2}
{21, -235214820356239958, 1}
{22, -1080646347907186687, 3}
{23, 4785584345332207239, 2}
{24, -3033714738299057475, 1}
{25, -2759851666205030923, 1}
{26, 7666012203678190342, 2}
{27, -2891442915075013512, 1}
{28, 4362000724952302396, 2}
{29, 9162159000666852517, 1}
{30, -1938581931824036015, 2}
{32, -4302540458444701109, 2}
{34, 4202937772286035061, 3}
{35, 496574044387362876, 2}
{36, 3167030300741422938, 3}
{37, -323440985781746419, 1}
{38, -4467679597781496020, 2}
{39, -7073739180096403579, 2}
{40, -7589392959948504291, 2}
{41, -1857669902673753518, 1}
{42, -2988119854215576399, 2}
{44, -3737792619033246400, 2}
{45, -6762859895582732759, 3}
{46, -7131474997772139306, 1}
{48, -3052727428402165309, 1}
{49, 4109350355926731115, 2}
{50, 3950307487598593756, 3}
{51, -2339167274606116349, 1}
{52, 740715094362966864, 3}
{53, -8883854451871298678, 1}
{54, 3221380730298322170, 2}
{55, 5663628729130567065, 3}
{57, -7689246190552200362, 3}
{58, 2255972649317780304, 3}
{59, 5287550053735680055, 3}
{60, -3371980178502956006, 2}
{61, -5332320028684301325, 2}
{62, 7313293045204928518, 3}
{63, 1456130713350981072, 1}
{64, -7561935168263143146, 3}
{65, -7023997655926683190, 1}
{66, -4404328461411334556, 2}
{67, 5120912173625069127, 2}
{68, -8104330107288400551, 3}
{69, -6558149613344242384, 2}
{70, 1580630353017654564, 1}
{71, -8154236526242608510, 2}
{72, 3222281775353187122, 2}
{73, 1883198306344452929, 1}
{74, 2285660638588715677, 2}
{75, 8133229528296867722, 2}
{76, 65719327422302773, 1}
{77, -6107377627868805312, 1}
{78, -7373190266304772665, 2}
{79, -2856506600717072666, 2}
{80, 8399553745624056445, 1}
{81, -4928989852885695782, 2}
{83, 5367656702878502695, 2}
{84, -7328063530188586707, 2}
{85, -668829997462831035, 1}
{86, 5904099699598315128, 2}
{87, 6199629708877645884, 3}
{88, 8473307517680173983, 3}
{89, -1818385645341751747, 2}
{90, 6037421352208515626, 1}
{91, -4313919042427336522, 3}
{92, 5822469463029597717, 1}
{93, -6439995370346426646, 1}
{94, 7797163180210473281, 1}
{95, -3224437898819515457, 1}
{96, -1002313556450457099, 1}
{97, 262320685631553598, 1}
{98, -3880784415793263663, 3}
{99, -4822066918089012516, 2}
{100, -4799859485036098111, 2}
{101, -8588756243937080364, 2}
{102, 820853268064388006, 4}
{104, -1760526059260326925, 1}
{105, -8342993326779252618, 4}
{106, -5544624616763867009, 1}
{107, -6155013859705272864, 2}
{109, 4950790857104182455, 1}
{110, 711588774677923154, 2}
{111, 2343049027626092440, 3}
